"id","start","end","chromosome","probeID","sourceID","IDtype"
"C1orf211",0,0,0,"7897277","ENSG00000225077","ensembl"
"HES3",0,0,0,"7897280","ENSG00000173673","ensembl"
"LOC100130071",0,0,0,"7897286","NA","ensembl"
"ESPN",0,0,0,"7897288","ENSG00000187017","ensembl"
"TAS1R1",0,0,0,"7897295","ENSG00000173662","ensembl"
"ZBTB48",0,0,0,"7897305","ENSG00000204859","ensembl"
"PHF13",0,0,0,"7897322","ENSG00000116273","ensembl"
"THAP3",0,0,0,"7897329","ENSG00000041988","ensembl"
"CAMTA1",0,0,0,"7897339","ENSG00000171735","ensembl"
"VAMP3",0,0,0,"7897370","ENSG00000049245","ensembl"
"PER3",0,0,0,"7897378","ENSG00000049246","ensembl"
"PARK7",0,0,0,"7897404","ENSG00000116288","ensembl"
"SLC45A1",0,0,0,"7897416","ENSG00000162426","ensembl"
"CA6",0,0,0,"7897426","ENSG00000131686","ensembl"
"H6PD",0,0,0,"7897441","ENSG00000049239","ensembl"
"SPSB1",0,0,0,"7897449","ENSG00000171621","ensembl"
"SLC25A33",0,0,0,"7897460","ENSG00000171612,ENSG00000226268","ensembl"
"TMEM201",0,0,0,"7897469","ENSG00000188807","ensembl"
"PIK3CD",0,0,0,"7897482","ENSG00000171608","ensembl"
"NMNAT1",0,0,0,"7897509","ENSG00000173614","ensembl"
"RBP7",0,0,0,"7897522","ENSG00000162444","ensembl"
"UBE4B",0,0,0,"7897527","ENSG00000130939","ensembl"
"KIF1B",0,0,0,"7897561","ENSG00000054523","ensembl"
"PGD",0,0,0,"7897620","ENSG00000142657","ensembl"
"APITD1-CORT",0,0,0,"7897632","ENSG00000251503","ensembl"
"PEX14",0,0,0,"7897648","ENSG00000142655","ensembl"
"TARDBP",0,0,0,"7897663","ENSG00000277726,ENSG00000120948","ensembl"
"ANGPTL7",0,0,0,"7897675","ENSG00000171819","ensembl"
"UBIAD1",0,0,0,"7897685","ENSG00000120942","ensembl"
"PTCHD2",0,0,0,"7897691","ENSG00000204624","ensembl"
"FBXO44",0,0,0,"7897714","ENSG00000132879","ensembl"
"FBXO6",0,0,0,"7897728","ENSG00000116663","ensembl"
"C1orf187",0,0,0,"7897737","ENSG00000162490","ensembl"
"AGTRAP",0,0,0,"7897745","ENSG00000177674","ensembl"
"C1orf167",0,0,0,"7897753","ENSG00000215910","ensembl"
"CLCN6",0,0,0,"7897774","ENSG00000011021","ensembl"
"RNU5E",0,0,0,"7897801","ENSG00000199347","ensembl"
"PLOD1",0,0,0,"7897803","ENSG00000083444","ensembl"
"MFN2",0,0,0,"7897824","ENSG00000116688","ensembl"
"MIIP",0,0,0,"7897849","ENSG00000116691,ENSG00000276869","ensembl"
"TNFRSF8",0,0,0,"7897860","ENSG00000120949","ensembl"
"TNFRSF1B",0,0,0,"7897877","ENSG00000028137","ensembl"
"VPS13D",0,0,0,"7897890","ENSG00000048707","ensembl"
"SNORA59A",0,0,0,"7897953","ENSG00000239149,ENSG00000142494,ENSG00000266079,ENSG00000048707","ensembl"
"AADACL4",0,0,0,"7897955","ENSG00000204518","ensembl"
"AADACL3",0,0,0,"7897960","ENSG00000188984","ensembl"
"C1orf158",0,0,0,"7897966","ENSG00000157330","ensembl"
"PRAMEF12",0,0,0,"7897974","ENSG00000116726","ensembl"
"PRAMEF1",0,0,0,"7897978","ENSG00000116721,ENSG00000282741,ENSG00000204481,ENSG00000279169","ensembl"
"PRAMEF2",0,0,0,"7897987","ENSG00000120952,ENSG00000282817","ensembl"
"PRAMEF7",0,0,0,"7897991","ENSG00000283387,ENSG00000278021,ENSG00000204510,ENSG00000282583,ENSG00000182330,ENSG00000279195","ensembl"
"PRAMEF3",0,0,0,"7912585","ENSG00000276816","ensembl"
"PRAMEF22",0,0,0,"7898002","ENSG00000276816","ensembl"
"PRAMEF5",0,0,0,"7898007","ENSG00000229571,ENSG00000282298,ENSG00000281573,ENSG00000282437,ENSG00000232423,ENSG00000239810,ENSG00000282424,ENSG00000276420,ENSG00000204505,ENSG00000283216,ENSG00000283139,ENSG00000281934,ENSG00000282119,ENSG00000281987,ENSG00000274764,ENSG00000283348,ENSG00000280267,ENSG00000283425,ENSG00000276299,ENSG00000282584,ENSG00000204501,ENSG00000283150,ENSG00000243073,ENSG00000282566,ENSG00000270601","ensembl"
"PRAMEF15",0,0,0,"7898012","ENSG00000276299,ENSG00000243073,ENSG00000282584,ENSG00000281934,ENSG00000239810,ENSG00000204505,ENSG00000274764,ENSG00000282437,ENSG00000283216,ENSG00000229571,ENSG00000280267,ENSG00000281987,ENSG00000282566,ENSG00000283348,ENSG00000204501,ENSG00000283139,ENSG00000276420,ENSG00000283425,ENSG00000282424,ENSG00000270601,ENSG00000282298,ENSG00000283150,ENSG00000281573,ENSG00000282119,ENSG00000232423","ensembl"
"PRAMEF10",0,0,0,"7912561","ENSG00000187545,ENSG00000282125,ENSG00000237700,ENSG00000283488,ENSG00000282663,ENSG00000276370","ensembl"
"PRAMEF16",0,0,0,"7898026","ENSG00000204479","ensembl"
"PRAMEF20",0,0,0,"7898052","ENSG00000204478","ensembl"
"PRAMEF17",0,0,0,"7898048","ENSG00000204479","ensembl"
"PDPN",0,0,0,"7898057","ENSG00000162493","ensembl"
"PRDM2",0,0,0,"7898070","ENSG00000116731","ensembl"
"KAZ",0,0,0,"7898084","ENSG00000189337","ensembl"
"TMEM51",0,0,0,"7898115","ENSG00000171729","ensembl"
"FHAD1",0,0,0,"7898124","ENSG00000142621","ensembl"
"EFHD2",0,0,0,"7898161","ENSG00000142634","ensembl"
"CTRC",0,0,0,"7898167","ENSG00000162438","ensembl"
"CELA2A",0,0,0,"7898176","ENSG00000142615","ensembl"
"CELA2B",0,0,0,"7898184","ENSG00000215704","ensembl"
"DNAJC16",0,0,0,"7898192","ENSG00000116138","ensembl"
"DDI2",0,0,0,"7898211","ENSG00000197312","ensembl"
"PLEKHM2",0,0,0,"7898227","ENSG00000116786","ensembl"
"SLC25A34",0,0,0,"7898249","ENSG00000162461","ensembl"
"TMEM82",0,0,0,"7898256","ENSG00000162460","ensembl"
"FBLIM1",0,0,0,"7898263","ENSG00000162458","ensembl"
"SPEN",0,0,0,"7898278","ENSG00000065526","ensembl"
"C1orf64",0,0,0,"7898296","ENSG00000183888","ensembl"
"CLCNKA",0,0,0,"7898300","ENSG00000186510","ensembl"
"CLCNKB",0,0,0,"7898314","ENSG00000184908","ensembl"
"C1orf144",0,0,0,"7898328","ENSG00000055070","ensembl"
"NECAP2",0,0,0,"7898337","ENSG00000157191","ensembl"
"LOC100132147",0,0,0,"7912804","ENSG00000228549,ENSG00000233421","ensembl"
"LOC388692",0,0,0,"7905043","ENSG00000263590,ENSG00000272419","ensembl"
"MST1P2",0,0,0,"7898357","ENSG00000186715,ENSG00000186301,ENSG00000173531","ensembl"
"LOC644634",0,0,0,"7898371","ENSG00000237847,ENSG00000279132,ENSG00000268674","ensembl"
"RNU1-1",0,0,0,"7919269","ENSG00000273768,ENSG00000206596,ENSG00000206588,ENSG00000206585,ENSG00000281416,ENSG00000207513,ENSG00000275405,ENSG00000277918,ENSG00000207389,ENSG00000206652,ENSG00000207005,ENSG00000270722,ENSG00000206737,ENSG00000274574","ensembl"
"CROCC",0,0,0,"7898377","ENSG00000058453","ensembl"
"PADI1",0,0,0,"7898413","ENSG00000281459,ENSG00000142623","ensembl"
"PADI3",0,0,0,"7898431","ENSG00000280549,ENSG00000142619","ensembl"
"PADI4",0,0,0,"7898448","ENSG00000280908,ENSG00000159339","ensembl"
"PADI6",0,0,0,"7898466","ENSG00000280949,ENSG00000276747","ensembl"
"ARHGEF10L",0,0,0,"7898483","ENSG00000074964","ensembl"
"ACTL8",0,0,0,"7898516","ENSG00000117148","ensembl"
"IGSF21",0,0,0,"7898521","ENSG00000117154","ensembl"
"KLHDC7A",0,0,0,"7898533","ENSG00000179023","ensembl"
"PAX7",0,0,0,"7898537","ENSG00000009709","ensembl"
"MRTO4",0,0,0,"7898549","ENSG00000053372","ensembl"
"PQLC2",0,0,0,"7898556","ENSG00000040487","ensembl"
"LOC100130193",0,0,0,"7898568","NA","ensembl"
"C1orf151",0,0,0,"7898574","ENSG00000173436,ENSG00000270136","ensembl"
"RPS14P3",0,0,0,"7898582","ENSG00000226396","ensembl"
"NBL1",0,0,0,"7898585","ENSG00000158747,ENSG00000270136","ensembl"
"HTR6",0,0,0,"7898594","ENSG00000158748","ensembl"
"OTUD3",0,0,0,"7898602","ENSG00000169914","ensembl"
"PLA2G5",0,0,0,"7898609","ENSG00000127472","ensembl"
"PLA2G2F",0,0,0,"7898616","ENSG00000158786","ensembl"
"UBXN10",0,0,0,"7898623","ENSG00000162543","ensembl"
"VWA5B1",0,0,0,"7898627","ENSG00000158816","ensembl"
"FAM43B",0,0,0,"7898653","ENSG00000183114","ensembl"
"CDA",0,0,0,"7898655","ENSG00000158825","ensembl"
"PINK1",0,0,0,"7913252","ENSG00000117242,ENSG00000244038","ensembl"
"HS6ST1",0,0,0,"8055130","ENSG00000187952,ENSG00000136720","ensembl"
"NBPF3",0,0,0,"7913380","NA","ensembl"
"ALPL",0,0,0,"7898693","ENSG00000162551","ensembl"
"LDLRAD2",0,0,0,"7898707","ENSG00000187942","ensembl"
"CELA3B",0,0,0,"7898713","ENSG00000219073","ensembl"
"CELA3A",0,0,0,"7898725","ENSG00000142789","ensembl"
"HSPC157",0,0,0,"7898736","ENSG00000218510","ensembl"
"CDC42",0,0,0,"7898739","ENSG00000070831","ensembl"
"ZBTB40",0,0,0,"7898750","ENSG00000184677","ensembl"
"EPHA8",0,0,0,"7898773","ENSG00000070886","ensembl"
"C1QA",0,0,0,"7898793","ENSG00000173372","ensembl"
"C1QC",0,0,0,"7898799","ENSG00000159189","ensembl"
"C1QB",0,0,0,"7898805","ENSG00000173369","ensembl"
"EPHB2",0,0,0,"7898809","ENSG00000133216","ensembl"
"KDM1A",0,0,0,"7898833","ENSG00000004487","ensembl"
"C1orf213",0,0,0,"7898858","ENSG00000201405,ENSG00000282829,ENSG00000283106,ENSG00000249087","ensembl"
"MDS2",0,0,0,"7898869","ENSG00000197880","ensembl"
"RPL11",0,0,0,"7898875","ENSG00000142676","ensembl"
"TCEB3",0,0,0,"7898881","ENSG00000011007","ensembl"
"C1orf128",0,0,0,"7898894","ENSG00000057757","ensembl"
"LYPLA2",0,0,0,"7898902","ENSG00000011009","ensembl"
"PNRC2",0,0,0,"7898910","ENSG00000228217,ENSG00000189266","ensembl"
"GRHL3",0,0,0,"7898916","ENSG00000158055","ensembl"
"NIPAL3",0,0,0,"7898939","ENSG00000001461","ensembl"
"RCAN3",0,0,0,"7898957","ENSG00000117602","ensembl"
"C1orf130",0,0,0,"7898967","ENSG00000184454","ensembl"
"SRRM1",0,0,0,"7898975","ENSG00000133226","ensembl"
"CLIC4",0,0,0,"7898988","ENSG00000169504","ensembl"
"RHD",0,0,0,"7898998","ENSG00000187010","ensembl"
"TMEM50A",0,0,0,"7899005","ENSG00000183726","ensembl"
"SDHD",0,0,0,"7899016","ENSG00000238084,ENSG00000255292,ENSG00000204370,ENSG00000227073,ENSG00000244381,ENSG00000224183","ensembl"
"TMEM57",0,0,0,"7899018","ENSG00000204178","ensembl"
"LDLRAP1",0,0,0,"7899023","ENSG00000157978","ensembl"
"MAN1C1",0,0,0,"7899029","ENSG00000117643","ensembl"
"SEPN1",0,0,0,"7899043","ENSG00000162430","ensembl"
"FAM54B",0,0,0,"7899057","ENSG00000117640","ensembl"
"EXTL1",0,0,0,"7899075","ENSG00000158008","ensembl"
"PDIK1L",0,0,0,"7899087","ENSG00000175087","ensembl"
"GRRP1",0,0,0,"7899093","ENSG00000197245","ensembl"
"ZNF593",0,0,0,"7899096","ENSG00000142684","ensembl"
"CNKSR1",0,0,0,"7899101","ENSG00000142675","ensembl"
"CATSPER4",0,0,0,"7899124","ENSG00000188782","ensembl"
"CCDC21",0,0,0,"7899134","ENSG00000130695","ensembl"
"SH3BGRL3",0,0,0,"7899153","ENSG00000130695,ENSG00000142669","ensembl"
"CD52",0,0,0,"7899160","ENSG00000169442","ensembl"
"LIN28A",0,0,0,"7899167","ENSG00000131914","ensembl"
"DHDDS",0,0,0,"7899173","ENSG00000117682","ensembl"
"HMGN2",0,0,0,"7899187","ENSG00000198830","ensembl"
"RPS6KA1",0,0,0,"7899192","ENSG00000117676,ENSG00000281877","ensembl"
"ARID1A",0,0,0,"7899220","ENSG00000117713","ensembl"
"PIGV",0,0,0,"7899244","ENSG00000060642","ensembl"
"ZDHHC18",0,0,0,"7899253","ENSG00000204160","ensembl"
"SFN",0,0,0,"7899265","ENSG00000175793","ensembl"
"NUDC",0,0,0,"7899273","ENSG00000090273","ensembl"
"TRNP1",0,0,0,"7899284","ENSG00000253368","ensembl"
"WDTC1",0,0,0,"7899289","ENSG00000142784","ensembl"
"TMEM222",0,0,0,"7899310","ENSG00000186501","ensembl"
"SYTL1",0,0,0,"7899323","ENSG00000142765","ensembl"
"GPR3",0,0,0,"7899343","ENSG00000181773","ensembl"
"CCDC72",0,0,0,"8079630","ENSG00000235912,ENSG00000253683,ENSG00000232112","ensembl"
"FAM76A",0,0,0,"7899350","ENSG00000009780","ensembl"
"STX12",0,0,0,"7899361","ENSG00000117758","ensembl"
"PPP1R8",0,0,0,"7899377","ENSG00000117751","ensembl"
"SCARNA1",0,0,0,"7899392","ENSG00000252947","ensembl"
"C1orf38",0,0,0,"7899394","ENSG00000130775","ensembl"
"SMPDL3B",0,0,0,"7899407","ENSG00000130768","ensembl"
"XKR8",0,0,0,"7899417","ENSG00000158156","ensembl"
"ATPIF1",0,0,0,"7899424","ENSG00000130770","ensembl"
"SESN2",0,0,0,"7899436","ENSG00000130766","ensembl"
"MED18",0,0,0,"7899448","ENSG00000130772","ensembl"
"PHACTR4",0,0,0,"7899455","ENSG00000204138","ensembl"
"RCC1",0,0,0,"7899462","ENSG00000180198","ensembl"
"SNORA73A",0,0,0,"7899480","ENSG00000274266,ENSG00000242125","ensembl"
"TRNAU1AP",0,0,0,"7899486","ENSG00000180098","ensembl"
"RAB42",0,0,0,"7899499","ENSG00000188060","ensembl"
"RNU11",0,0,0,"7899502","ENSG00000229388,ENSG00000270103,ENSG00000274978","ensembl"
"GMEB1",0,0,0,"7899504","ENSG00000162419","ensembl"
"YTHDF2",0,0,0,"7899519","ENSG00000198492","ensembl"
"OPRD1",0,0,0,"7899528","ENSG00000116329","ensembl"
"EPB41",0,0,0,"7899534","ENSG00000159023","ensembl"
"PTPRU",0,0,0,"7899562","ENSG00000060656","ensembl"
"MATN1",0,0,0,"7899595","ENSG00000186056","ensembl"
"PRO0611",0,0,0,"7899602","NA","ensembl"
"ZCCHC17",0,0,0,"7899604","ENSG00000121766","ensembl"
"SERINC2",0,0,0,"7899615","ENSG00000168528","ensembl"
"TINAGL1",0,0,0,"7899627","ENSG00000142910","ensembl"
"HCRTR1",0,0,0,"7899643","ENSG00000121764","ensembl"
"KHDRBS1",0,0,0,"7899654","ENSG00000121774","ensembl"
"TMEM39B",0,0,0,"7899675","ENSG00000121775","ensembl"
"KPNA6",0,0,0,"7899688","ENSG00000025800","ensembl"
"TXLNA",0,0,0,"7899703","ENSG00000084652","ensembl"
"CCDC28B",0,0,0,"7899719","ENSG00000160050","ensembl"
"IQCC",0,0,0,"7899727","ENSG00000160050,ENSG00000160051","ensembl"
"EIF3I",0,0,0,"7899737","ENSG00000084623","ensembl"
"FAM167B",0,0,0,"7899750","ENSG00000183615","ensembl"
"LCK",0,0,0,"7899753","ENSG00000182866","ensembl"
"HDAC1",0,0,0,"7899774","ENSG00000116478","ensembl"
"TSSK3",0,0,0,"7899790","ENSG00000162526","ensembl"
"ZBTB8B",0,0,0,"7899797","ENSG00000254553","ensembl"
"RBBP4",0,0,0,"7899813","ENSG00000162521","ensembl"
"KIAA1522",0,0,0,"7899821","ENSG00000162522","ensembl"
"S100PBP",0,0,0,"7899829","ENSG00000116497","ensembl"
"HPCA",0,0,0,"7899841","ENSG00000121905","ensembl"
"ADC",0,0,0,"7899851","ENSG00000142920","ensembl"
"ZNF362",0,0,0,"7899870","ENSG00000160094","ensembl"
"ZSCAN20",0,0,0,"7899884","ENSG00000121903","ensembl"
"HMGB4",0,0,0,"7899905","ENSG00000176256","ensembl"
"C1orf94",0,0,0,"7899911","ENSG00000142698","ensembl"
"GJB5",0,0,0,"7899921","ENSG00000189280","ensembl"
"GJB4",0,0,0,"7899927","ENSG00000189433","ensembl"
"GJB3",0,0,0,"7899932","NA","ensembl"
"GJA4",0,0,0,"7899939","ENSG00000187513","ensembl"
"ZMYM1",0,0,0,"7899943","ENSG00000197056","ensembl"
"ZMYM4",0,0,0,"7899957","ENSG00000146463","ensembl"
"NCDN",0,0,0,"7899990","ENSG00000020129","ensembl"
"TFAP2E",0,0,0,"7900001","ENSG00000116819","ensembl"
"EIF2C4",0,0,0,"7900009","ENSG00000134698","ensembl"
"EIF2C1",0,0,0,"7900030","ENSG00000092847","ensembl"
"EIF2C3",0,0,0,"7900051","ENSG00000126070","ensembl"
"TEKT2",0,0,0,"7900076","ENSG00000092850","ensembl"
"ADPRHL2",0,0,0,"7900087","ENSG00000116863","ensembl"
"MAP7D1",0,0,0,"7900095","ENSG00000116871","ensembl"
"THRAP3",0,0,0,"7900119","ENSG00000054118","ensembl"
"C1orf113",0,0,0,"7914898","ENSG00000142694","ensembl"
"ZC3H12A",0,0,0,"7900146","ENSG00000163874","ensembl"
"RPS27",0,0,0,"8079019","ENSG00000177954,ENSG00000240759,ENSG00000237749,ENSG00000244538,ENSG00000240231,ENSG00000234287,ENSG00000227081,ENSG00000234268,ENSG00000237729,ENSG00000236439","ensembl"
"DNALI1",0,0,0,"7900159","ENSG00000163879","ensembl"
"CDCA8",0,0,0,"7900167","ENSG00000134690","ensembl"
"MANEAL",0,0,0,"7900183","ENSG00000185090","ensembl"
"C1orf122",0,0,0,"7900192","ENSG00000197982","ensembl"
"UTP11L",0,0,0,"7900201","ENSG00000183520","ensembl"
"AKIRIN1",0,0,0,"7900216","ENSG00000174574","ensembl"
"NDUFS5",0,0,0,"7900228","ENSG00000168653","ensembl"
"MACF1",0,0,0,"7900235","ENSG00000127603","ensembl"
"BMP8A",0,0,0,"7900340","NA","ensembl"
"OXCT2",0,0,0,"7900352","ENSG00000237624,ENSG00000198754","ensembl"
"PPIE",0,0,0,"7900354","ENSG00000084072","ensembl"
"MFSD2A",0,0,0,"7900365","ENSG00000168389","ensembl"
"CAP1",0,0,0,"7900382","ENSG00000131236","ensembl"
"RLF",0,0,0,"7900395","ENSG00000117000","ensembl"
"TMCO2",0,0,0,"7900409","ENSG00000188800","ensembl"
"ZMPSTE24",0,0,0,"7900413","ENSG00000084073","ensembl"
"SMAP2",0,0,0,"7900426","ENSG00000084070","ensembl"
"ZNF643",0,0,0,"7900438","ENSG00000187801","ensembl"
"ZNF642",0,0,0,"7900446","ENSG00000187815","ensembl"
"DEM1",0,0,0,"7900454","ENSG00000164002","ensembl"
"ZNF684",0,0,0,"7900461","ENSG00000117010","ensembl"
"NFYC",0,0,0,"7900468","ENSG00000066136","ensembl"
"MIR30E",0,0,0,"7900488","ENSG00000198974,ENSG00000066136","ensembl"
"MIR30C1",0,0,0,"7900490","ENSG00000207962","ensembl"
"KCNQ4",0,0,0,"7900492","ENSG00000117013","ensembl"
"CTPS",0,0,0,"7900510","ENSG00000171793","ensembl"
"GUCA2B",0,0,0,"7900531","ENSG00000044012","ensembl"
"RIMKLA",0,0,0,"7900540","ENSG00000177181","ensembl"
"PPCS",0,0,0,"7900546","ENSG00000127125","ensembl"
"CCDC30",0,0,0,"7900555","ENSG00000186409","ensembl"
"PPIH",0,0,0,"7900576","ENSG00000171960","ensembl"
"YBX1",0,0,0,"7900585","ENSG00000065978,ENSG00000224861,ENSG00000231167,ENSG00000213866","ensembl"
"C1orf50",0,0,0,"7900597","ENSG00000164008,ENSG00000283580","ensembl"
"ERMAP",0,0,0,"7900609","ENSG00000164010","ensembl"
"ZNF691",0,0,0,"7900624","ENSG00000164011","ensembl"
"FAM183A",0,0,0,"7900635","ENSG00000186973","ensembl"
"WDR65",0,0,0,"7900639","ENSG00000243710","ensembl"
"TMEM125",0,0,0,"7900654","ENSG00000179178","ensembl"
"TIE1",0,0,0,"7900658","ENSG00000066056","ensembl"
"MPL",0,0,0,"7900683","ENSG00000117400","ensembl"
"CDC20",0,0,0,"7900699","ENSG00000117399","ensembl"
"KIAA0467",0,0,0,"7900710","ENSG00000198198","ensembl"
"PTPRF",0,0,0,"7900792","ENSG00000142949","ensembl"
"KDM4A",0,0,0,"7900833","ENSG00000066135","ensembl"
"ST3GAL3",0,0,0,"7900857","ENSG00000126091","ensembl"
"ARTN",0,0,0,"7900878","ENSG00000117407","ensembl"
"IPO13",0,0,0,"7900888","ENSG00000117408","ensembl"
"DPH2",0,0,0,"7900911","ENSG00000132768","ensembl"
"ATP6V0B",0,0,0,"7900922","ENSG00000117410","ensembl"
"B4GALT2",0,0,0,"7900931","ENSG00000117411","ensembl"
"CCDC24",0,0,0,"7900944","ENSG00000159214","ensembl"
"KLF17",0,0,0,"7900957","ENSG00000171872","ensembl"
"DMAP1",0,0,0,"7900962","ENSG00000178028","ensembl"
"RNF220",0,0,0,"7900979","ENSG00000187147","ensembl"
"C1orf228",0,0,0,"7900999","ENSG00000198520","ensembl"
"KIF2C",0,0,0,"7901010","ENSG00000142945","ensembl"
"RPS8",0,0,0,"7901038","ENSG00000142937,ENSG00000240376,ENSG00000264294,ENSG00000202031,ENSG00000200913","ensembl"
"SNORD55",0,0,0,"7901046","ENSG00000142937,ENSG00000264294","ensembl"
"SNORD46",0,0,0,"7901048","ENSG00000264294,ENSG00000200913","ensembl"
"SNORD38A",0,0,0,"7901050","ENSG00000200913,ENSG00000202031,ENSG00000264294,ENSG00000142937","ensembl"
"SNORD38B",0,0,0,"7901052","ENSG00000207421,ENSG00000202031,ENSG00000200913,ENSG00000281859,ENSG00000264294,ENSG00000142937","ensembl"
"PLK3",0,0,0,"7901054","ENSG00000173846","ensembl"
"UROD",0,0,0,"7901073","ENSG00000126088","ensembl"
"HPDL",0,0,0,"7901087","ENSG00000186603","ensembl"
"TOE1",0,0,0,"7901091","ENSG00000132773","ensembl"
"MMACHC",0,0,0,"7901102","ENSG00000132763","ensembl"
"AKR1A1",0,0,0,"7901110","ENSG00000117448","ensembl"
"NASP",0,0,0,"7901123","ENSG00000132780","ensembl"
"TMEM69",0,0,0,"7901135","ENSG00000159596","ensembl"
"MAST2",0,0,0,"7901140","ENSG00000086015","ensembl"
"TSPAN1",0,0,0,"7901175","ENSG00000117472","ensembl"
"C1orf190",0,0,0,"7901187","ENSG00000171357","ensembl"
"RAD54L",0,0,0,"7901192","ENSG00000085999","ensembl"
"UQCRH",0,0,0,"7912670","ENSG00000233954,ENSG00000173660","ensembl"
"NSUN4",0,0,0,"7901219","ENSG00000117481","ensembl"
"FAAH",0,0,0,"7901229","ENSG00000117480","ensembl"
"DMBX1",0,0,0,"7901247","ENSG00000197587","ensembl"
"C1orf223",0,0,0,"7901253","ENSG00000186118","ensembl"
"CYP4B1",0,0,0,"7901256","ENSG00000142973","ensembl"
"CYP4X1",0,0,0,"7901272","ENSG00000186377","ensembl"
"CYP4Z1",0,0,0,"7901287","ENSG00000186160","ensembl"
"CYP4A22",0,0,0,"7901293","ENSG00000162365","ensembl"
"CMPK1",0,0,0,"7901299","ENSG00000162368","ensembl"
"FOXE3",0,0,0,"7901309","ENSG00000186790","ensembl"
"FOXD2",0,0,0,"7901311","ENSG00000186564","ensembl"
"SLC5A9",0,0,0,"7901316","ENSG00000117834","ensembl"
"STRADB",0,0,0,"7901336","ENSG00000235105,ENSG00000082146,ENSG00000213205","ensembl"
"ELAVL4",0,0,0,"7901342","ENSG00000162374","ensembl"
"CDKN2C",0,0,0,"7901363","ENSG00000123080","ensembl"
